DATE,Median Income,State
2001-01-01,70140,rhodeisland
2002-01-01,64059,rhodeisland
2003-01-01,66024,rhodeisland
2004-01-01,68923,rhodeisland
2005-01-01,68819,rhodeisland
2006-01-01,72386,rhodeisland
2007-01-01,71010,rhodeisland
2008-01-01,67161,rhodeisland
2009-01-01,65362,rhodeisland
2010-01-01,64287,rhodeisland
2011-01-01,59196,rhodeisland
2012-01-01,66281,rhodeisland
2013-01-01,65614,rhodeisland
2014-01-01,67168,rhodeisland
2015-01-01,63699,rhodeisland
2016-01-01,69467,rhodeisland
2017-01-01,72285,rhodeisland
2018-01-01,67183,rhodeisland
2019-01-01,74344,rhodeisland
2000-01-01,34096,tennessee
2001-01-01,35783,tennessee
2002-01-01,37030,tennessee
2003-01-01,37523,tennessee
2004-01-01,38072,tennessee
2005-01-01,39406,tennessee
2006-01-01,40693,tennessee
2007-01-01,41195,tennessee
2008-01-01,39702,tennessee
2009-01-01,40517,tennessee
2010-01-01,38591,tennessee
2011-01-01,42279,tennessee
2012-01-01,42995,tennessee
2013-01-01,43361,tennessee
2014-01-01,43716,tennessee
2015-01-01,47330,tennessee
2016-01-01,51344,tennessee
2017-01-01,55306,tennessee
2018-01-01,56060,tennessee
2019-01-01,56627,tennessee
2000-01-01,46402,westvirginia
2001-01-01,45519,westvirginia
2002-01-01,44339,westvirginia
2003-01-01,48381,westvirginia
2004-01-01,47985,westvirginia
2005-01-01,50685,westvirginia
2006-01-01,51753,westvirginia
2007-01-01,55136,westvirginia
2008-01-01,47928,westvirginia
2009-01-01,51255,westvirginia
2010-01-01,53271,westvirginia
2011-01-01,50489,westvirginia
2012-01-01,51489,westvirginia
2013-01-01,50174,westvirginia
2014-01-01,45309,westvirginia
2015-01-01,48973,westvirginia
2016-01-01,50077,westvirginia
2017-01-01,51900,westvirginia
2018-01-01,54566,westvirginia
2019-01-01,56916,westvirginia
2000-01-01,60913,texas
2001-01-01,62680,texas
2002-01-01,60634,texas
2003-01-01,57991,texas
